!MOLECULE
E-CH3OH
!MOLECULAR WEIGHT
32.0
!NUMBER OF ENERGY LEVELS
100
!LEVEL + ENERGIES(cm^-1) + WEIGHT + J, K
 80   15    7      2.861e-07      700.707780	 61.6
 81   15   11      6.224e-08      720.675207	 61.6
 82   15    6      4.317e-08      865.768967	 61.6
 83   16   21      7.323e-05      573.471078	 76.6
 84   16   20      9.117e-11      649.639253	 76.6
 85   16   14      1.223e-03      766.982311	 76.6
 86   16   18      2.954e-08      839.763272	 76.6
 87   16   13      9.967e-11      843.150587	 76.6
 88   16    9      5.854e-03      912.108703	 76.6
 89   16    8      3.210e-11      988.276777	 76.6
 90   16   17      9.889e-10      997.009313	 76.6
 91   17   11      1.541e-07       36.169262	 28.8
 92   17   10      2.840e-05      193.441620	 28.8
 93   18   13      1.508e-15        3.387316	 36.3
 94   18   12      4.119e-08       28.316067	 36.3
 95   18   17      2.098e-05      157.246100	 36.3
 96   18   11      3.025e-05      193.415370	 36.3
 97   18   10      8.671e-05      350.687730	 36.3
 98   19   26      6.789e-11       80.669334	 44.3
 99   19   14      5.103e-10       92.409579	 44.3
100   19   18      2.321e-05      165.190530	 44.3
101   19   13      4.382e-06      168.577860	 44.3
102   19   12      2.914e-05      193.506600	 44.3
103   19   17      4.335e-09      322.436581	 44.3
104   19   11      1.319e-04      358.605800	 44.3
105   19   10      5.326e-09      515.878191	 44.3
106   20   19      7.875e-08       24.933470	 45.5
107   20   26      3.046e-10      105.602813	 45.5
108   20   14      4.179e-12      117.343058	 45.5
109   20   18      8.888e-10      190.124019	 45.5
110   20   13      2.246e-05      193.511335	 45.5
111   20   12      4.687e-05      218.440050	 45.5
112   20   17      1.084e-08      347.370060	 45.5
113   20   11      7.297e-09      383.539350	 45.5
114   20   10      2.046e-08      540.811670	 45.5
115   21   27      1.923e-12       24.592026	 49.1
116   21   20      4.572e-12       76.168175	 49.1
117   21   19      4.009e-09      101.101654	 49.1
118   21   26      9.019e-06      181.771050	 49.1
119   21   14      2.275e-05      193.511233	 49.1
120   21   18      4.884e-09      266.292194	 49.1
121   21   13      2.537e-11      269.679509	 49.1
122   21   12      2.976e-08      294.608225	 49.1
123   21   17      4.066e-04      423.538258	 49.1
124   21   11      1.256e-08      459.707525	 49.1
125   21   10      1.114e-03      616.979984	 49.1
126   22   15      1.325e-05      193.474330	 70.9
127   22   30      2.483e-11      212.537943	 70.9
128   22   29      1.844e-05      288.705567	 70.9
129   22   28      1.597e-08      313.664717	 70.9
130   22   21      1.214e-10      454.442101	 70.9
131   22   27      2.843e-08      479.034127	 70.9
132   22   20      6.142e-04      530.610288	 70.9
133   22   19      3.326e-07      555.543755	 70.9
134   22   14      1.407e-10      647.953334	 70.9
135   22   18      1.937e-07      720.734294	 70.9
136   22   13      2.564e-03      724.121576	 70.9
